"id","academy_id","coach_id","support_coach_id","court_id","name","program","ball_level","level","start_time","end_time","days_of_week","max_capacity","is_semi_batch","semi_batch_group","status","created_at"
"b_mwf_adv_c2","11111111-1111-1111-1111-111111111111","coach_jagdish","","court_2","Court 2 - Advance Yellow Ball - 3:30 to 5:30pm","ADV","Yellow","Yellow","15:30","17:30","MWF","4","false","","Active","2026-01-01T00:00:00Z"
"b_mwf_adv_c3","11111111-1111-1111-1111-111111111111","coach_nanu","coach_santosh","court_3","Court 3 - Advance Yellow Ball - 4:00 to 6:00pm","ADV","Yellow","Yellow","16:00","18:00","MWF","4","false","","Active","2026-01-01T00:00:00Z"
"b_mwf_adv_c4","11111111-1111-1111-1111-111111111111","coach_santosh","","court_4","Court 4 - Advance Yellow Ball - 4:00 to 6:00pm","ADV","Yellow","Yellow","16:00","18:00","MWF","4","false","","Active","2026-01-01T00:00:00Z"
"b_mwf_adv_c5","11111111-1111-1111-1111-111111111111","coach_anil","","court_5","Court 5 - Advance Yellow Ball - 3:30 to 5:30pm","ADV","Yellow","Yellow","15:30","17:30","MWF","4","false","","Active","2026-01-01T00:00:00Z"
"b_mwf_advgrn_c6","11111111-1111-1111-1111-111111111111","coach_vinod","coach_santosh","court_6","Court 6 - Advance Green Ball - 3:30 to 5:30pm","ADV","Green","Green","15:30","17:30","MWF","4","false","","Active","2026-01-01T00:00:00Z"
"b_mwf_orange_c5","11111111-1111-1111-1111-111111111111","coach_karan","","court_5","Court 5 - Orange Ball - 5:30 to 6:15pm","ORANGE","Orange","Orange","17:30","18:15","MWF","12","false","","Active","2026-01-01T00:00:00Z"
"b_mwf_red_c6","11111111-1111-1111-1111-111111111111","coach_sunil","coach_karim","court_6","Court 6 - Red Ball - 5:30 to 6:15pm","RED","Red","Red","17:30","18:15","MWF","12","true","","Active","2026-01-01T00:00:00Z"
"b_mwf_green_c3","11111111-1111-1111-1111-111111111111","coach_karim","","court_3","Court 3 - Green Ball - 6:15 to 7:15pm","GREEN","Green","Green","18:15","19:15","MWF","6","false","","Active","2026-01-01T00:00:00Z"
"b_mwf_fit_a","11111111-1111-1111-1111-111111111111","coach_fitness","","court_6","Court 6 - Fitness - 18:15 to 19:00","FITNESS","","Intermediate","18:15","19:00","MWF","6","false","","Active","2026-01-01T00:00:00Z"
"b_mwf_fit_b","11111111-1111-1111-1111-111111111111","coach_fitness","","court_6","Court 6 - Fitness - 19:00 to 19:45","FITNESS","","Intermediate","19:00","19:45","MWF","6","false","","Active","2026-01-01T00:00:00Z"
"b_tts_int_c3","11111111-1111-1111-1111-111111111111","coach_jagdish","","court_3","Court 3 - Intermediate Yellow Ball - 4:30 to 6:00pm","INT","Yellow","Yellow","16:30","18:00","TTS","4","false","","Active","2026-01-01T00:00:00Z"
"b_tts_int_c4","11111111-1111-1111-1111-111111111111","coach_nanu","","court_4","Court 4 - Intermediate Yellow Ball - 5:00 to 6:00pm","INT","Yellow","Yellow","17:00","18:00","TTS","4","false","","Active","2026-01-01T00:00:00Z"
"b_tts_int_c5","11111111-1111-1111-1111-111111111111","coach_anil","coach_vinod","court_4","Court 4 - Intermediate Yellow Ball - 3:30 to 5:00pm","INT","Yellow","Yellow","15:30","17:00","TTS","5","false","","Active","2026-01-01T00:00:00Z"
"b_tts_green_c5","11111111-1111-1111-1111-111111111111","coach_karan","","court_5","Court 5 - Beginner Green Ball - 5:00 to 6:00pm","GREEN","Green","Green","17:00","18:00","TTS","12","false","","Active","2026-01-01T00:00:00Z"
"b_tts_green_c6","11111111-1111-1111-1111-111111111111","coach_karim","","court_6","Court 6 - Intermediate Green Ball - 4:00 to 5:00pm","GREEN","Green","Green","16:00","17:00","TTS","6","false","","Active","2026-01-01T00:00:00Z"
"b_tts_red_c6","11111111-1111-1111-1111-111111111111","coach_sunil","","court_6","Court 6 - Red Ball - 5:00 to 5:45pm","RED","Red","Red","17:00","17:45","TTS","12","false","","Active","2026-01-01T00:00:00Z"
"b_tts_adult_c4","11111111-1111-1111-1111-111111111111","coach_nanu","","court_4","Court 4 - Adults - 6:30 to 7:30am","ADULT","Yellow","Yellow","06:30","07:30","TTS","5","false","","Active","2026-01-01T00:00:00Z"
"b_tts_fit_c6","11111111-1111-1111-1111-111111111111","coach_fitness","","court_6","Court 6 - Fitness - 17:45 to 18:45","FITNESS","","Intermediate","17:45","18:45","TTS","6","false","","Active","2026-01-01T00:00:00Z"
"b_wk_u8_230","11111111-1111-1111-1111-111111111111","coach_sunil","","court_5","Court 5 - Weekend U8 - 2:30 to 3:30pm","WEEKEND","Red","Red","14:30","15:30","SAT_SUN","10","true","wk_230","Active","2026-01-01T00:00:00Z"
"b_wk_8p_230","11111111-1111-1111-1111-111111111111","coach_karan","","court_6","Court 6 - Weekend 8+ - 2:30 to 3:30pm","WEEKEND","Orange","Orange","14:30","15:30","SAT_SUN","6","true","wk_230","Active","2026-01-01T00:00:00Z"
"b_wk_u8_330","11111111-1111-1111-1111-111111111111","coach_sunil","","court_5","Court 5 - Weekend U8 - 3:30 to 4:30pm","WEEKEND","Red","Red","15:30","16:30","SAT_SUN","10","true","wk_330","Active","2026-01-01T00:00:00Z"
"b_wk_8p_330","11111111-1111-1111-1111-111111111111","coach_karan","","court_6","Court 6 - Weekend 8+ - 3:30 to 4:30pm","WEEKEND","Orange","Orange","15:30","16:30","SAT_SUN","6","true","wk_330","Active","2026-01-01T00:00:00Z"
